string,m_strIdleSndKey,ENEM_Def_idle
string,m_strAngerSndKey,ENEM_Def_angry
string,m_strAttackSndKey,ATK_punch
string,m_strHitSndKey,ENEM_Def_hit
string,m_strLostSndKey,ENEM_Def_lost
string,m_strDeathSndKey,ENEM_Def_die
float,m_fVisionDistance,25
float,m_fHearingDistance,60
float,m_fWalkSpeed,15
float,m_fStrafeSpeed,12
float,m_fSprintSpeed,40
float,m_fAttackTime,1.5
float,m_fSprintTime,15
float,m_fAtk,10
float,m_fHP,128
float,m_fHPLowThreshold,64
float,m_fDyingAnimSpeed,1.44
int,m_eWeap,0
mesh,enem1,enem_priest.msh
bone,NpcMediumGeneric-01_AS.bne
anim,enem_default.anm
string,DefaultAnimClip,Idle
sound,ENEM_Def_idle1
sound,ENEM_Def_idle2
sound,ENEM_Def_idle3
sound,ENEM_Def_idle4
sound,ENEM_Def_angry1
sound,ENEM_Def_angry2
sound,ENEM_Def_angry3
sound,ENEM_Def_angry4
sound,ENEM_Def_angry5
sound,ENEM_Def_die1
sound,ENEM_Def_die2
sound,ENEM_Def_die3
sound,ENEM_Def_hit1
sound,ENEM_Def_hit2
sound,ENEM_Def_hit3
sound,ENEM_Def_lost1
sound,ENEM_Def_lost2
sound,ATK_punch1
sound,ATK_punch2
sound,ATK_punch3
sound,ATK_punch4